,link,title,premise,post_time,highlight,information,detail
44,th.jobsdb.com/th/jobs/in-pathumwan/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist, & LINE Company (Thailand) Limited & Pathumwan,4d ago, & 5+ years of machine learning & data scientist exp. & Experience with the Hadoop ecosystem & Strong SQL skills,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
45,th.jobsdb.com/th/jobs/in-sampantawong/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer, & Tong Hua Holding Public Company Limited & Sampantawong,1d ago, & Quick Learner & Strong problem-solving and analytical skills & Build innovative data solutions,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
46,th.jobsdb.com/th/jobs/in-bangrak/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer, & Accenture Thailand & Bangrak,1d ago," & SQL, Databricks, Data Warehouse, Apache Spark & Data integration, transformation, migration & Competitive Salary and Benefits","Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
47,th.jobsdb.com/th/jobs/in-yannawa/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,AI / Machine Learning Engineer (Hybrid working), & Krungsri Bank (Bank of Ayudhya PCL.) & Yannawa,5d ago," & Machine Learning system & Natural Language Processing & Python, API, Scikit-learn, Tensorflow or PyTorch","Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
48,th.jobsdb.com/th/jobs/in-phayathai/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Business Data Science, & Pruksa Real Estate Public Company Limited & Phayathai,1d ago, & At least 1 years working experience & exp. in Business Intelligence or Business Analyst & Computer Science,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
49,th.jobsdb.com/th/jobs/in-bangrak/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Backend Python Developer," & DIGITAL ORGANIC CO., LTD & Bangrak",2d ago,,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
50,th.jobsdb.com/th/jobs/in-klongtoey/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,DATA SCIENTIST, & Vinarco Services (Thailand) Limited & Klongtoey,3d ago," & Data sources and data gathering techniques & SQL, Python, R, Matlab, PowerBI, Spotfire & Machine learning, cloud computing and big data","Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
51,th.jobsdb.com/th/jobs/in-huaykwang/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Quantitative Analyst/นักวิเคราะห์เชิงปริมาณ," & AIGEN CO., LTD. & Huaykwang",1d ago," & Min. Bachelor, 2-5 yrs. experience & Problem solver, strong prog. & analytical skill & Flex hrs., Health ins., Prov. Fund","Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
52,th.jobsdb.com/th/jobs/in-phayathai/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist (Forth Vending - Tao Bin), & Forth Vending Company Limited & Phayathai,4d ago, & Data Scientist & Data & Big Data,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
53,th.jobsdb.com/th/jobs/in-jatuchak/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Science Consultant," & SCB TECH X CO., LTD. & Jatuchak",17h ago," & Opportunity to work with Tech-Driven Company & Hybrids Working, 2 days in Office, 3 days WFH & Well-Being and Flexi Benefits","Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
54,th.jobsdb.com/th/jobs/in-klongtoey/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer, & AP (Thailand) Public Company Limited & Klongtoey,1d ago, & Experience in Data Engineer or Big data & Experience in Cloud Platform & Knowledge in SQL or Python,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
55,th.jobsdb.com/th/jobs/in-jatuchak/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer (Junior/Senior), & MFEC Public Company Limited & Jatuchak,1d ago, & Data Pipeline Framework & Knowledge in Data structure and Data warehouse & Competitive salary with high benefits,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
56,th.jobsdb.com/th/jobs/in-klongtoey/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist, & Colgate-Palmolive (Thailand) Limited & Klongtoey,3d ago," & Google Data Studio, Power BI, Python & Min 2 yr exp in Data Scientist, Data Visualization & Location Klongtoey, Not connect to BTS/MRT","Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
57,th.jobsdb.com/th/jobs/in-pravet/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,"Data Scientist, Advanced Analytics", & PANDORA & Pravet,3d ago, & Identify valuable insights & in-depth business cases via data mangling & Advanced statistical analysis,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
58,th.jobsdb.com/th/jobs/in-yannawa/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,IT - Data Scientist, & Bank of Ayudhya Public Company Limited (Ayudhya Capital Auto) & Yannawa,3d ago," & PL/SQL database and big data Concepts & Hadoop, Spark, Hive or Python & Senior Level","Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
59,th.jobsdb.com/th/jobs/in-huaykwang/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Engineer (AI Team), & True Corporation Public Company Limited & Huaykwang,3d ago, & Data Engineer & AI Team & R&D,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
60,th.jobsdb.com/th/jobs/in-bangrak/machine-learning-jobs/1?SalaryF=30000&SalaryT=70000&SalaryType=1&createdAt=30d,Data Scientist," & TD Tawandang Co., Ltd. & Bangrak",3d ago, & Data Insight & Data Scientist & Python and SQL & Retail Business,"Job TypeFull TimeCompany Websitehttps://cathcarttechnology.co.th/Job FunctionsInformation Technology (IT), UI / UX Designer &&& IndustryHuman Resources Management/ConsultancyBenefits & OthersMedical insurance, Performance bonus, Transportation allowance, Travel allowance, Work from home, Five-day work week, Flexible working hours","Location: Bangkok, MRT + WFH Days

Salary: Up to 45,000 THB + Benefits
Cathcart Technology’s client has an interesting opportunity for a determined UXUI Designer to join an innovative commerce platform. The company provides advanced data technologies to help many business units. 
Your role will be designing web and mobile applications by using various UXUI methods as well as working closely with a talented team. Working with this company will push you forward as you will be working on unique projects with a highly skilled tech lead and team.

Qualifications:
       Bachelors or higher degree in IT, digital design, or related field
       At least 2 years’ experience in UXUI designer role
       Strong in Figma and Adobe Illustrator
       Ability to work end-to-end from discovery through to delivery
       Highly motivated, self-oriented and a good team player
       Good communication skills
       Experience with Scrum and Agile methodologies
If this position appeals to you and you would like to join our client or for further information, please do not hesitate to contact me K.Yaya at Cathcart Technology on 02-038-5878."
